source_player_id,source_player_name,datagolf_player_name,canonical_name,event_key,first_seen_at,last_seen_at
60019,Jackson Suber,"suber, jackson","suber, jackson",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
60067,Joe Highsmith,"highsmith, joe","highsmith, joe",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
60386,Sudarshan Yellamaraju,"yellamaraju, sudarshan","yellamaraju, sudarshan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
61522,Michael Brennan,"brennan, michael","brennan, michael",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
63121,William Mouw,"mouw, william","mouw, william",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
63343,Aldrich Potgieter,"potgieter, aldrich","potgieter, aldrich",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
63454,Johnny Keefer,"keefer, johnny","keefer, johnny",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
63552,Daniel Azallion,"azallion, daniel","azallion, daniel",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
63807,Neal Shipley,"shipley, neal","shipley, neal",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
64442,Gordon Sargent,"sargent, gordon","sargent, gordon",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
66701,Jackson Koivun,"koivun, jackson","koivun, jackson",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
66743,Luke Clanton,"clanton, luke","clanton, luke",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
67287,Muzzy Donohue,"donohue, muzzy","donohue, muzzy",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
70415,William Jennings,"jennings, william","jennings, william",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
